date,product_id,product_name,quantity_sold
2022-01-01,PROD_001,Efferalgan 1000mg,72
2022-01-01,PROD_002,Doliprane 1000mg,105
2022-01-01,PROD_003,Spasfon Lyoc 80mg,110
2022-01-01,PROD_004,Smecta 3g,126
2022-01-01,PROD_005,Ibuprofene 400mg,122
2022-01-01,PROD_006,Paracetamol 500mg,134
2022-01-01,PROD_007,Aspirine 500mg,78
2022-01-01,PROD_008,Strepsils Miel Citron,90
2022-01-01,PROD_009,Humex Rhume,168
2022-01-01,PROD_010,Actifed Rhume,84
2022-01-02,PROD_001,Efferalgan 1000mg,73
2022-01-02,PROD_002,Doliprane 1000mg,81
2022-01-02,PROD_003,Spasfon Lyoc 80mg,85
2022-01-02,PROD_004,Smecta 3g,106
2022-01-02,PROD_005,Ibuprofene 400mg,113
2022-01-02,PROD_006,Paracetamol 500mg,108
2022-01-02,PROD_007,Aspirine 500mg,61
2022-01-02,PROD_008,Strepsils Miel Citron,74
2022-01-02,PROD_009,Humex Rhume,171
2022-01-02,PROD_010,Actifed Rhume,68
2022-01-03,PROD_001,Efferalgan 1000mg,76
2022-01-03,PROD_002,Doliprane 1000mg,119
2022-01-03,PROD_003,Spasfon Lyoc 80mg,139
2022-01-03,PROD_004,Smecta 3g,143
2022-01-03,PROD_005,Ibuprofene 400mg,180
2022-01-03,PROD_006,Paracetamol 500mg,162
2022-01-03,PROD_007,Aspirine 500mg,84
2022-01-03,PROD_008,Strepsils Miel Citron,127
2022-01-03,PROD_009,Humex Rhume,220
2022-01-03,PROD_010,Actifed Rhume,102
2022-01-04,PROD_001,Efferalgan 1000mg,73
2022-01-04,PROD_002,Doliprane 1000mg,146
2022-01-04,PROD_003,Spasfon Lyoc 80mg,135
2022-01-04,PROD_004,Smecta 3g,185
2022-01-04,PROD_005,Ibuprofene 400mg,195
2022-01-04,PROD_006,Paracetamol 500mg,177
2022-01-04,PROD_007,Aspirine 500mg,88
2022-01-04,PROD_008,Strepsils Miel Citron,137
2022-01-04,PROD_009,Humex Rhume,199
2022-01-04,PROD_010,Actifed Rhume,83
2022-01-05,PROD_001,Efferalgan 1000mg,96
2022-01-05,PROD_002,Doliprane 1000mg,133
2022-01-05,PROD_003,Spasfon Lyoc 80mg,121
2022-01-05,PROD_004,Smecta 3g,187
2022-01-05,PROD_005,Ibuprofene 400mg,233
2022-01-05,PROD_006,Paracetamol 500mg,168
2022-01-05,PROD_007,Aspirine 500mg,100
2022-01-05,PROD_008,Strepsils Miel Citron,146
2022-01-05,PROD_009,Humex Rhume,187
2022-01-05,PROD_010,Actifed Rhume,120
2022-01-06,PROD_001,Efferalgan 1000mg,104
2022-01-06,PROD_002,Doliprane 1000mg,159
2022-01-06,PROD_003,Spasfon Lyoc 80mg,126
2022-01-06,PROD_004,Smecta 3g,178
2022-01-06,PROD_005,Ibuprofene 400mg,209
2022-01-06,PROD_006,Paracetamol 500mg,158
2022-01-06,PROD_007,Aspirine 500mg,99
2022-01-06,PROD_008,Strepsils Miel Citron,142
2022-01-06,PROD_009,Humex Rhume,221
2022-01-06,PROD_010,Actifed Rhume,117
2022-01-07,PROD_001,Efferalgan 1000mg,90
2022-01-07,PROD_002,Doliprane 1000mg,129
2022-01-07,PROD_003,Spasfon Lyoc 80mg,116
2022-01-07,PROD_004,Smecta 3g,195
2022-01-07,PROD_005,Ibuprofene 400mg,234
2022-01-07,PROD_006,Paracetamol 500mg,210
2022-01-07,PROD_007,Aspirine 500mg,84
2022-01-07,PROD_008,Strepsils Miel Citron,128
2022-01-07,PROD_009,Humex Rhume,181
2022-01-07,PROD_010,Actifed Rhume,122
2022-01-08,PROD_001,Efferalgan 1000mg,71
2022-01-08,PROD_002,Doliprane 1000mg,101
2022-01-08,PROD_003,Spasfon Lyoc 80mg,80
2022-01-08,PROD_004,Smecta 3g,120
2022-01-08,PROD_005,Ibuprofene 400mg,149
2022-01-08,PROD_006,Paracetamol 500mg,126
2022-01-08,PROD_007,Aspirine 500mg,70
2022-01-08,PROD_008,Strepsils Miel Citron,72
2022-01-08,PROD_009,Humex Rhume,174
2022-01-08,PROD_010,Actifed Rhume,60
2022-01-09,PROD_001,Efferalgan 1000mg,55
2022-01-09,PROD_002,Doliprane 1000mg,94
2022-01-09,PROD_003,Spasfon Lyoc 80mg,96
2022-01-09,PROD_004,Smecta 3g,102
2022-01-09,PROD_005,Ibuprofene 400mg,154
2022-01-09,PROD_006,Paracetamol 500mg,143
2022-01-09,PROD_007,Aspirine 500mg,53
2022-01-09,PROD_008,Strepsils Miel Citron,83
2022-01-09,PROD_009,Humex Rhume,130
2022-01-09,PROD_010,Actifed Rhume,70
2022-01-10,PROD_001,Efferalgan 1000mg,79
2022-01-10,PROD_002,Doliprane 1000mg,154
2022-01-10,PROD_003,Spasfon Lyoc 80mg,140
2022-01-10,PROD_004,Smecta 3g,143
2022-01-10,PROD_005,Ibuprofene 400mg,181
2022-01-10,PROD_006,Paracetamol 500mg,180
2022-01-10,PROD_007,Aspirine 500mg,80
2022-01-10,PROD_008,Strepsils Miel Citron,124
2022-01-10,PROD_009,Humex Rhume,186
2022-01-10,PROD_010,Actifed Rhume,112
2022-01-11,PROD_001,Efferalgan 1000mg,99
2022-01-11,PROD_002,Doliprane 1000mg,145
2022-01-11,PROD_003,Spasfon Lyoc 80mg,125
2022-01-11,PROD_004,Smecta 3g,183
2022-01-11,PROD_005,Ibuprofene 400mg,219
2022-01-11,PROD_006,Paracetamol 500mg,158
2022-01-11,PROD_007,Aspirine 500mg,91
2022-01-11,PROD_008,Strepsils Miel Citron,134
2022-01-11,PROD_009,Humex Rhume,220
2022-01-11,PROD_010,Actifed Rhume,103
2022-01-12,PROD_001,Efferalgan 1000mg,87
2022-01-12,PROD_002,Doliprane 1000mg,118
2022-01-12,PROD_003,Spasfon Lyoc 80mg,135
2022-01-12,PROD_004,Smecta 3g,164
2022-01-12,PROD_005,Ibuprofene 400mg,178
2022-01-12,PROD_006,Paracetamol 500mg,204
2022-01-12,PROD_007,Aspirine 500mg,78
2022-01-12,PROD_008,Strepsils Miel Citron,135
2022-01-12,PROD_009,Humex Rhume,256
2022-01-12,PROD_010,Actifed Rhume,91
2022-01-13,PROD_001,Efferalgan 1000mg,95
2022-01-13,PROD_002,Doliprane 1000mg,117
2022-01-13,PROD_003,Spasfon Lyoc 80mg,125
2022-01-13,PROD_004,Smecta 3g,163
2022-01-13,PROD_005,Ibuprofene 400mg,205
2022-01-13,PROD_006,Paracetamol 500mg,179
2022-01-13,PROD_007,Aspirine 500mg,105
2022-01-13,PROD_008,Strepsils Miel Citron,112
2022-01-13,PROD_009,Humex Rhume,253
2022-01-13,PROD_010,Actifed Rhume,88
2022-01-14,PROD_001,Efferalgan 1000mg,82
2022-01-14,PROD_002,Doliprane 1000mg,114
2022-01-14,PROD_003,Spasfon Lyoc 80mg,161
2022-01-14,PROD_004,Smecta 3g,194
2022-01-14,PROD_005,Ibuprofene 400mg,191
2022-01-14,PROD_006,Paracetamol 500mg,143
2022-01-14,PROD_007,Aspirine 500mg,104
2022-01-14,PROD_008,Strepsils Miel Citron,139
2022-01-14,PROD_009,Humex Rhume,236
2022-01-14,PROD_010,Actifed Rhume,96
2022-01-15,PROD_001,Efferalgan 1000mg,66
2022-01-15,PROD_002,Doliprane 1000mg,91
2022-01-15,PROD_003,Spasfon Lyoc 80mg,113
2022-01-15,PROD_004,Smecta 3g,114
2022-01-15,PROD_005,Ibuprofene 400mg,148
2022-01-15,PROD_006,Paracetamol 500mg,135
2022-01-15,PROD_007,Aspirine 500mg,75
2022-01-15,PROD_008,Strepsils Miel Citron,81
2022-01-15,PROD_009,Humex Rhume,154
2022-01-15,PROD_010,Actifed Rhume,79
2022-01-16,PROD_001,Efferalgan 1000mg,55
2022-01-16,PROD_002,Doliprane 1000mg,85
2022-01-16,PROD_003,Spasfon Lyoc 80mg,89
2022-01-16,PROD_004,Smecta 3g,114
2022-01-16,PROD_005,Ibuprofene 400mg,138
2022-01-16,PROD_006,Paracetamol 500mg,141
2022-01-16,PROD_007,Aspirine 500mg,60
2022-01-16,PROD_008,Strepsils Miel Citron,79
2022-01-16,PROD_009,Humex Rhume,126
2022-01-16,PROD_010,Actifed Rhume,64
2022-01-17,PROD_001,Efferalgan 1000mg,83
2022-01-17,PROD_002,Doliprane 1000mg,131
2022-01-17,PROD_003,Spasfon Lyoc 80mg,142
2022-01-17,PROD_004,Smecta 3g,171
2022-01-17,PROD_005,Ibuprofene 400mg,186
2022-01-17,PROD_006,Paracetamol 500mg,161
2022-01-17,PROD_007,Aspirine 500mg,90
2022-01-17,PROD_008,Strepsils Miel Citron,139
2022-01-17,PROD_009,Humex Rhume,197
2022-01-17,PROD_010,Actifed Rhume,116
2022-01-18,PROD_001,Efferalgan 1000mg,94
2022-01-18,PROD_002,Doliprane 1000mg,157
2022-01-18,PROD_003,Spasfon Lyoc 80mg,153
2022-01-18,PROD_004,Smecta 3g,144
2022-01-18,PROD_005,Ibuprofene 400mg,186
2022-01-18,PROD_006,Paracetamol 500mg,201
2022-01-18,PROD_007,Aspirine 500mg,86
2022-01-18,PROD_008,Strepsils Miel Citron,125
2022-01-18,PROD_009,Humex Rhume,233
2022-01-18,PROD_010,Actifed Rhume,115
2022-01-19,PROD_001,Efferalgan 1000mg,73
2022-01-19,PROD_002,Doliprane 1000mg,131
2022-01-19,PROD_003,Spasfon Lyoc 80mg,138
2022-01-19,PROD_004,Smecta 3g,147
2022-01-19,PROD_005,Ibuprofene 400mg,203
2022-01-19,PROD_006,Paracetamol 500mg,153
2022-01-19,PROD_007,Aspirine 500mg,93
2022-01-19,PROD_008,Strepsils Miel Citron,118
2022-01-19,PROD_009,Humex Rhume,209
2022-01-19,PROD_010,Actifed Rhume,122
2022-01-20,PROD_001,Efferalgan 1000mg,84
2022-01-20,PROD_002,Doliprane 1000mg,146
2022-01-20,PROD_003,Spasfon Lyoc 80mg,110
2022-01-20,PROD_004,Smecta 3g,184
2022-01-20,PROD_005,Ibuprofene 400mg,237
2022-01-20,PROD_006,Paracetamol 500mg,155
2022-01-20,PROD_007,Aspirine 500mg,111
2022-01-20,PROD_008,Strepsils Miel Citron,119
2022-01-20,PROD_009,Humex Rhume,202
2022-01-20,PROD_010,Actifed Rhume,108
2022-01-21,PROD_001,Efferalgan 1000mg,88
2022-01-21,PROD_002,Doliprane 1000mg,130
2022-01-21,PROD_003,Spasfon Lyoc 80mg,149
2022-01-21,PROD_004,Smecta 3g,132
2022-01-21,PROD_005,Ibuprofene 400mg,206
2022-01-21,PROD_006,Paracetamol 500mg,164
2022-01-21,PROD_007,Aspirine 500mg,95
2022-01-21,PROD_008,Strepsils Miel Citron,110
2022-01-21,PROD_009,Humex Rhume,194
2022-01-21,PROD_010,Actifed Rhume,83
2022-01-22,PROD_001,Efferalgan 1000mg,53
2022-01-22,PROD_002,Doliprane 1000mg,90
2022-01-22,PROD_003,Spasfon Lyoc 80mg,93
2022-01-22,PROD_004,Smecta 3g,104
2022-01-22,PROD_005,Ibuprofene 400mg,148
2022-01-22,PROD_006,Paracetamol 500mg,109
2022-01-22,PROD_007,Aspirine 500mg,57
2022-01-22,PROD_008,Strepsils Miel Citron,94
2022-01-22,PROD_009,Humex Rhume,143
2022-01-22,PROD_010,Actifed Rhume,69
2022-01-23,PROD_001,Efferalgan 1000mg,73
2022-01-23,PROD_002,Doliprane 1000mg,99
2022-01-23,PROD_003,Spasfon Lyoc 80mg,83
2022-01-23,PROD_004,Smecta 3g,113
2022-01-23,PROD_005,Ibuprofene 400mg,134
2022-01-23,PROD_006,Paracetamol 500mg,115
2022-01-23,PROD_007,Aspirine 500mg,60
2022-01-23,PROD_008,Strepsils Miel Citron,98
2022-01-23,PROD_009,Humex Rhume,168
2022-01-23,PROD_010,Actifed Rhume,81
2022-01-24,PROD_001,Efferalgan 1000mg,74
2022-01-24,PROD_002,Doliprane 1000mg,125
2022-01-24,PROD_003,Spasfon Lyoc 80mg,149
2022-01-24,PROD_004,Smecta 3g,135
2022-01-24,PROD_005,Ibuprofene 400mg,208
2022-01-24,PROD_006,Paracetamol 500mg,161
2022-01-24,PROD_007,Aspirine 500mg,89
2022-01-24,PROD_008,Strepsils Miel Citron,114
2022-01-24,PROD_009,Humex Rhume,223
2022-01-24,PROD_010,Actifed Rhume,86
2022-01-25,PROD_001,Efferalgan 1000mg,82
2022-01-25,PROD_002,Doliprane 1000mg,130
2022-01-25,PROD_003,Spasfon Lyoc 80mg,114
2022-01-25,PROD_004,Smecta 3g,164
2022-01-25,PROD_005,Ibuprofene 400mg,222
